Burning Time; Firing Node; Firing Neuron; Burning Node; Burning Neuron;External Source; From Internal State; To Internal State; Step in State; Post Synaptic Weight; Pre Synaptic Weight; Instant to Fire; (Afferent) Firing Time
0.2; 0; 100; 0; 0; true; 0.0564056472094265; 0.1314056472094265; 0.075; 1; 0.075;-1;0.2
0.2; 0; 149; 0; 49; true; 0.2011804749145857; 0.2761804749145857; 0.075; 1; 0.075;-1;0.2
0.2; 0; 101; 0; 1; true; 0.2161881891872053; 0.2911881891872053; 0.075; 1; 0.075;-1;0.2
0.2; 0; 103; 0; 3; true; 0.448392066677812; 0.5233920666778119; 0.075; 1; 0.075;-1;0.2
0.2; 0; 107; 0; 7; true; 0.9569264481022859; 1.0319264481022858; 0.075; 1; 0.075;-1;0.2
0.2; 0; 115; 0; 15; true; 0.3582956589687933; 0.4332956589687934; 0.075; 1; 0.075;-1;0.2
0.2; 0; 131; 0; 31; true; 0.5626903364451882; 0.6376903364451881; 0.075; 1; 0.075;-1;0.2
0.2; 0; 132; 0; 32; true; 0.1238617734345963; 0.1988617734345963; 0.075; 1; 0.075;-1;0.2
0.2; 0; 116; 0; 16; true; 0.0671207194537469; 0.1421207194537469; 0.075; 1; 0.075;-1;0.2
0.2; 0; 133; 0; 33; true; 0.91601578968535; 0.99101578968535; 0.075; 1; 0.075;-1;0.2
0.2; 0; 134; 0; 34; true; 0.694255459111722; 0.769255459111722; 0.075; 1; 0.075;-1;0.2
0.2; 0; 108; 0; 8; true; 0.5348144900019252; 0.6098144900019251; 0.075; 1; 0.075;-1;0.2
0.2; 0; 117; 0; 17; true; 0.4531398104939031; 0.528139810493903; 0.075; 1; 0.075;-1;0.2
0.2; 0; 135; 0; 35; true; 0; 0.075; 0.075; 1; 0.075;-1;0.2
0.2; 0; 136; 0; 36; true; 0.0486702978744182; 0.1236702978744182; 0.075; 1; 0.075;-1;0.2
0.2; 0; 118; 0; 18; true; 0.4343774419928866; 0.5093774419928866; 0.075; 1; 0.075;-1;0.2
0.2; 0; 137; 0; 37; true; 0.320441170865542; 0.395441170865542; 0.075; 1; 0.075;-1;0.2
0.2; 0; 138; 0; 38; true; 0.3257011688570587; 0.4007011688570587; 0.075; 1; 0.075;-1;0.2
0.2; 0; 104; 0; 4; true; 0.7275803669529972; 0.8025803669529972; 0.075; 1; 0.075;-1;0.2
0.2; 0; 109; 0; 9; true; 0.7338756321992851; 0.808875632199285; 0.075; 1; 0.075;-1;0.2
0.2; 0; 119; 0; 19; true; 0.8054017730258569; 0.8804017730258569; 0.075; 1; 0.075;-1;0.2
0.2; 0; 139; 0; 39; true; 0.6404441872686971; 0.7154441872686971; 0.075; 1; 0.075;-1;0.2
0.2; 0; 140; 0; 40; true; 0.1395174676031653; 0.2145174676031653; 0.075; 1; 0.075;-1;0.2
0.2; 1; 100; 1; 0; true; 0.8588160663165226; 0.9328160663165226; 0.074; 1; 0.074;-1;0.2
0.2; 2; 100; 2; 0; true; 0.8608197745967996; 0.9348197745967995; 0.074; 1; 0.074;-1;0.2
0.2; 1; 139; 1; 39; true; 0.1678843736511667; 0.2418843736511667; 0.074; 1; 0.074;-1;0.2
0.2; 0; 120; 0; 20; true; 0.3520652684868919; 0.4270652684868919; 0.075; 1; 0.075;-1;0.2
0.2; 1; 101; 1; 1; true; 0.1808916420611639; 0.2548916420611639; 0.074; 1; 0.074;-1;0.2
0.2; 1; 103; 1; 3; true; 0.4119362204145645; 0.4859362204145645; 0.074; 1; 0.074;-1;0.2
0.2; 1; 107; 1; 7; true; 0.9078318470333689; 0.9818318470333689; 0.074; 1; 0.074;-1;0.2
0.2; 1; 115; 1; 15; true; 0.1550900769634472; 0.2290900769634472; 0.074; 1; 0.074;-1;0.2
0.2; 1; 131; 1; 31; true; 0.5497283303665207; 0.6237283303665206; 0.074; 1; 0.074;-1;0.2
0.2; 1; 132; 1; 32; true; 0.6295998878550385; 0.7035998878550385; 0.074; 1; 0.074;-1;0.2
0.2; 1; 116; 1; 16; true; 0.0630001661866248; 0.1370001661866247; 0.074; 1; 0.074;-1;0.2
0.2; 1; 133; 1; 33; true; 0.9788760292242633; 1.0528760292242634; 0.074; 1; 0.074;19.112161421174324;0.2
0.2; 1; 134; 1; 34; true; 0.2172010398354302; 0.2912010398354302; 0.074; 1; 0.074;-1;0.2
0.2; 1; 108; 1; 8; true; 0.1472530460226736; 0.2212530460226736; 0.074; 1; 0.074;-1;0.2
0.2; 1; 117; 1; 17; true; 0.8925786420155186; 0.9665786420155186; 0.074; 1; 0.074;-1;0.2
0.2; 1; 135; 1; 35; true; 0.5378902972692551; 0.611890297269255; 0.074; 1; 0.074;-1;0.2
0.2; 1; 136; 1; 36; true; 0.906883211183416; 0.9808832111834159; 0.074; 1; 0.074;-1;0.2
0.2; 1; 118; 1; 18; true; 0.2135571509792247; 0.2875571509792247; 0.074; 1; 0.074;-1;0.2
0.2; 1; 137; 1; 37; true; 0.4730759084796998; 0.5470759084796998; 0.074; 1; 0.074;-1;0.2
0.2; 1; 138; 1; 38; true; 0.0388224007666507; 0.1128224007666507; 0.074; 1; 0.074;-1;0.2
0.2; 1; 104; 1; 4; true; 0.8430821870263333; 0.9170821870263333; 0.074; 1; 0.074;-1;0.2
0.2; 1; 109; 1; 9; true; 0.7264109545921222; 0.8004109545921222; 0.074; 1; 0.074;-1;0.2
0.2; 1; 119; 1; 19; true; 0.4011749074687004; 0.4751749074687004; 0.074; 1; 0.074;-1;0.2
0.2; 1; 120; 1; 20; true; 0.7400883061037024; 0.8140883061037023; 0.074; 1; 0.074;-1;0.2
0.2; 1; 110; 1; 10; true; 0.7474305593532716; 0.8214305593532716; 0.074; 1; 0.074;-1;0.2
0.2; 1; 121; 1; 21; true; 0.836423317967366; 0.910423317967366; 0.074; 1; 0.074;-1;0.2
0.2; 1; 122; 1; 22; true; 0.2360836112232265; 0.3100836112232265; 0.074; 1; 0.074;-1;0.2
0.2; 1; 102; 1; 2; true; 0.5038280116498652; 0.5778280116498652; 0.074; 1; 0.074;-1;0.2
0.2; 1; 105; 1; 5; true; 0.100233786061633; 0.174233786061633; 0.074; 1; 0.074;-1;0.2
0.2; 1; 111; 1; 11; true; 0.1256659901802848; 0.1996659901802848; 0.074; 1; 0.074;-1;0.2
0.2; 1; 123; 1; 23; true; 0.0635906809255865; 0.1375906809255865; 0.074; 1; 0.074;-1;0.2
0.2; 1; 124; 1; 24; true; 0.6918755526166863; 0.7658755526166863; 0.074; 1; 0.074;-1;0.2
0.2; 1; 112; 1; 12; true; 0.0877470318847341; 0.1617470318847341; 0.074; 1; 0.074;-1;0.2
0.2; 1; 125; 1; 25; true; 0.7880069377764529; 0.8620069377764529; 0.074; 1; 0.074;-1;0.2
0.2; 1; 126; 1; 26; true; 0.271456399883089; 0.345456399883089; 0.074; 1; 0.074;-1;0.2
0.2; 1; 106; 1; 6; true; 0.2699893309735543; 0.3439893309735543; 0.074; 1; 0.074;-1;0.2
0.2; 1; 113; 1; 13; true; 0.5637809212321647; 0.6377809212321647; 0.074; 1; 0.074;-1;0.2
0.2; 2; 139; 2; 39; true; 0.9574195003053294; 1.0314195003053295; 0.074; 1; 0.074;-1;0.2
0.2; 1; 127; 1; 27; true; 0; 0.074; 0.074; 1; 0.074;-1;0.2
0.2; 2; 101; 2; 1; true; 0.7986203551731831; 0.872620355173183; 0.074; 1; 0.074;-1;0.2
0.2; 1; 128; 1; 28; true; 0.6340455771071981; 0.7080455771071981; 0.074; 1; 0.074;-1;0.2
0.2; 2; 103; 2; 3; true; 0.0425126100801622; 0.1165126100801622; 0.074; 1; 0.074;-1;0.2
0.2; 2; 107; 2; 7; true; 0.4302488425623345; 0.5042488425623345; 0.074; 1; 0.074;-1;0.2
0.2; 2; 115; 2; 15; true; 0.5748094554184263; 0.6488094554184263; 0.074; 1; 0.074;-1;0.2
0.2; 0; 141; 0; 41; true; 0.8525609957156843; 0.9275609957156843; 0.075; 1; 0.075;-1;0.2
0.2; 2; 131; 2; 31; true; 0.2091047695527951; 0.2831047695527951; 0.074; 1; 0.074;-1;0.2
0.2; 2; 132; 2; 32; true; 0.7652939488167985; 0.8392939488167984; 0.074; 1; 0.074;-1;0.2
0.2; 2; 116; 2; 16; true; 0.7318255170601117; 0.8058255170601116; 0.074; 1; 0.074;-1;0.2
0.2; 0; 142; 0; 42; true; 0.60248065483305; 0.67748065483305; 0.075; 1; 0.075;-1;0.2
0.2; 1; 114; 1; 14; true; 0.6857116938002639; 0.7597116938002638; 0.074; 1; 0.074;-1;0.2
0.2; 0; 110; 0; 10; true; 0.7649262896109216; 0.8399262896109215; 0.075; 1; 0.075;-1;0.2
0.2; 1; 129; 1; 29; true; 0.1496351552608763; 0.2236351552608764; 0.074; 1; 0.074;-1;0.2
0.2; 0; 121; 0; 21; true; 0.3530893326072555; 0.4280893326072555; 0.075; 1; 0.075;-1;0.2
0.2; 1; 130; 1; 30; true; 0.8226789482197272; 0.8966789482197272; 0.074; 1; 0.074;-1;0.2
0.2; 2; 133; 2; 33; true; 0.8198917493627738; 0.8938917493627737; 0.074; 1; 0.074;-1;0.2
1.2; 1; 129; 1; 29; true; 0.1536351552608763; 0.2276351552608764; 0.074; 1; 0.074;-1;1.2
0.2; 2; 134; 2; 34; true; 0.5056632003302495; 0.5796632003302494; 0.074; 1; 0.074;-1;0.2
1.2; 1; 130; 1; 30; true; 0.8266789482197272; 0.9006789482197272; 0.074; 1; 0.074;-1;1.2
0.2; 2; 108; 2; 8; true; 0.0982184214944619; 0.1722184214944619; 0.074; 1; 0.074;-1;0.2
1.2; 1; 110; 1; 10; true; 0.7514305593532715; 0.8254305593532715; 0.074; 1; 0.074;-1;1.2
1.2; 1; 136; 1; 36; true; 0.910883211183416; 0.9848832111834159; 0.074; 1; 0.074;-1;1.2
1.2; 1; 131; 1; 31; true; 0.5537283303665206; 0.6277283303665205; 0.074; 1; 0.074;-1;1.2
1.2; 1; 101; 1; 1; true; 0.1848916420611639; 0.2588916420611639; 0.074; 1; 0.074;-1;1.2
1.2; 1; 100; 1; 0; true; 0.8628160663165225; 0.9368160663165225; 0.074; 1; 0.074;-1;1.2
1.2; 1; 139; 1; 39; true; 0.1718843736511667; 0.2458843736511667; 0.074; 1; 0.074;-1;1.2
1.2; 1; 115; 1; 15; true; 0.1590900769634472; 0.2330900769634472; 0.074; 1; 0.074;-1;1.2
1.2; 1; 103; 1; 3; true; 0.4159362204145645; 0.4899362204145645; 0.074; 1; 0.074;-1;1.2
1.2; 1; 107; 1; 7; true; 0.9118318470333688; 0.9858318470333688; 0.074; 1; 0.074;-1;1.2
1.2; 1; 135; 1; 35; true; 0.541890297269255; 0.6158902972692549; 0.074; 1; 0.074;-1;1.2
1.2; 1; 132; 1; 32; true; 0.6335998878550384; 0.7075998878550384; 0.074; 1; 0.074;-1;1.2
1.2; 1; 116; 1; 16; true; 0.0670001661866247; 0.1410001661866248; 0.074; 1; 0.074;-1;1.2
1.2; 1; 117; 1; 17; true; 0.8965786420155186; 0.9705786420155186; 0.074; 1; 0.074;-1;1.2
1.2; 1; 134; 1; 34; true; 0.2212010398354302; 0.2952010398354302; 0.074; 1; 0.074;-1;1.2
1.2; 1; 108; 1; 8; true; 0.1512530460226736; 0.2252530460226737; 0.074; 1; 0.074;-1;1.2
0.2; 0; 143; 0; 43; true; 0.5157257264521858; 0.5907257264521858; 0.075; 1; 0.075;-1;0.2
0.2; 0; 144; 0; 44; true; 0.8453089869162381; 0.9203089869162381; 0.075; 1; 0.075;-1;0.2
0.2; 0; 122; 0; 22; true; 0.7454545580737074; 0.8204545580737074; 0.075; 1; 0.075;-1;0.2
0.2; 0; 145; 0; 45; true; 0.3045682553542298; 0.3795682553542298; 0.075; 1; 0.075;-1;0.2
0.2; 0; 146; 0; 46; true; 0.1442464527443987; 0.2192464527443987; 0.075; 1; 0.075;-1;0.2
0.2; 0; 102; 0; 2; true; 0.8077972191218926; 0.8827972191218926; 0.075; 1; 0.075;-1;0.2
0.2; 2; 117; 2; 17; true; 0.2489768340144874; 0.3229768340144875; 0.074; 1; 0.074;-1;0.2
0.2; 2; 135; 2; 35; true; 0.0746230101804069; 0.1486230101804069; 0.074; 1; 0.074;-1;0.2
0.2; 2; 136; 2; 36; true; 0.4863479667829335; 0.5603479667829334; 0.074; 1; 0.074;-1;0.2
0.2; 2; 118; 2; 18; true; 0.136562884016976; 0.210562884016976; 0.074; 1; 0.074;-1;0.2
0.2; 2; 137; 2; 37; true; 0.1722279414586511; 0.2462279414586511; 0.074; 1; 0.074;-1;0.2
0.2; 2; 138; 2; 38; true; 0.4602463691108596; 0.5342463691108595; 0.074; 1; 0.074;-1;0.2
0.2; 2; 104; 2; 4; true; 0.5560941347564823; 0.6300941347564822; 0.074; 1; 0.074;-1;0.2
0.2; 2; 109; 2; 9; true; 0.1518797273590223; 0.2258797273590223; 0.074; 1; 0.074;-1;0.2
0.2; 2; 119; 2; 19; true; 0.0240681272467345; 0.0980681272467345; 0.074; 1; 0.074;-1;0.2
1.2; 1; 120; 1; 20; true; 0.7440883061037022; 0.8180883061037022; 0.074; 1; 0.074;-1;1.2
0.2; 0; 105; 0; 5; true; 0.6453760864749718; 0.7203760864749718; 0.075; 1; 0.075;-1;0.2
1.2; 1; 138; 1; 38; true; 0.0428224007666507; 0.1168224007666507; 0.074; 1; 0.074;-1;1.2
0.2; 0; 111; 0; 11; true; 0.2119549447058765; 0.2869549447058765; 0.075; 1; 0.075;-1;0.2
0.2; 2; 120; 2; 20; true; 0.6752790485434881; 0.749279048543488; 0.074; 1; 0.074;-1;0.2
0.2; 0; 123; 0; 23; true; 0.129582116838638; 0.204582116838638; 0.075; 1; 0.075;-1;0.2
1.2; 1; 118; 1; 18; true; 0.2175571509792247; 0.2915571509792247; 0.074; 1; 0.074;-1;1.2
1.2; 1; 133; 1; 33; true; 1.0558279917474325; 1.1298279917474325; 0.074; 1; 0.074;8.902499180187588;1.2
1.2; 1; 137; 1; 37; true; 0.4770759084796998; 0.5510759084796998; 0.074; 1; 0.074;-1;1.2
1.2; 1; 119; 1; 19; true; 0.4051749074687004; 0.4791749074687005; 0.074; 1; 0.074;-1;1.2
1.2; 1; 104; 1; 4; true; 0.8470821870263332; 0.9210821870263332; 0.074; 1; 0.074;-1;1.2
1.2; 1; 109; 1; 9; true; 0.7304109545921222; 0.8044109545921222; 0.074; 1; 0.074;-1;1.2
1.2; 1; 114; 1; 14; true; 0.6897116938002639; 0.7637116938002638; 0.074; 1; 0.074;-1;1.2
1.2; 1; 124; 1; 24; true; 0.6958755526166862; 0.7698755526166862; 0.074; 1; 0.074;-1;1.2
0.2; 0; 147; 0; 47; true; 0.192750160866207; 0.267750160866207; 0.075; 1; 0.075;-1;0.2
0.2; 0; 148; 0; 48; true; 0.1293886418198597; 0.2043886418198597; 0.075; 1; 0.075;-1;0.2
1.2; 1; 102; 1; 2; true; 0.5078280116498652; 0.5818280116498652; 0.074; 1; 0.074;-1;1.2
0.2; 0; 124; 0; 24; true; 0.8460282265220912; 0.9210282265220912; 0.075; 1; 0.075;-1;0.2
0.2; 0; 112; 0; 12; true; 0.9782211574241491; 1.053221157424149; 0.075; 1; 0.075;18.989519965348435;0.2
0.2; 2; 110; 2; 10; true; 0.8976190851717274; 0.9716190851717273; 0.074; 1; 0.074;-1;0.2
0.2; 0; 125; 0; 25; true; 0.3529592814852573; 0.4279592814852574; 0.075; 1; 0.075;-1;0.2
0.2; 2; 121; 2; 21; true; 0.3298818134139019; 0.4038818134139019; 0.074; 1; 0.074;-1;0.2
0.2; 2; 122; 2; 22; true; 0.1743370846835208; 0.2483370846835208; 0.074; 1; 0.074;-1;0.2
0.2; 2; 102; 2; 2; true; 0.7492960848552263; 0.8232960848552262; 0.074; 1; 0.074;-1;0.2
0.2; 2; 105; 2; 5; true; 0.081538290672311; 0.155538290672311; 0.074; 1; 0.074;-1;0.2
0.2; 2; 111; 2; 11; true; 0.0949129184490794; 0.1689129184490794; 0.074; 1; 0.074;-1;0.2
0.2; 2; 123; 2; 23; true; 0.1703667305307972; 0.2443667305307972; 0.074; 1; 0.074;-1;0.2
0.2; 2; 124; 2; 24; true; 0.6065826485524861; 0.6805826485524861; 0.074; 1; 0.074;-1;0.2
0.2; 2; 112; 2; 12; true; 0.9252034296688657; 0.9992034296688657; 0.074; 1; 0.074;-1;0.2
0.2; 2; 125; 2; 25; true; 0.9571196977427405; 1.0311196977427406; 0.074; 1; 0.074;-1;0.2
0.2; 2; 126; 2; 26; true; 0.2680192304714778; 0.3420192304714778; 0.074; 1; 0.074;-1;0.2
0.2; 2; 106; 2; 6; true; 0.7006072843951552; 0.7746072843951551; 0.074; 1; 0.074;-1;0.2
0.2; 2; 113; 2; 13; true; 0.108637335391364; 0.182637335391364; 0.074; 1; 0.074;-1;0.2
0.2; 2; 127; 2; 27; true; 0.6498247132625872; 0.7238247132625871; 0.074; 1; 0.074;-1;0.2
0.2; 2; 128; 2; 28; true; 0.6007447498500125; 0.6747447498500124; 0.074; 1; 0.074;-1;0.2
0.2; 2; 114; 2; 14; true; 0.4183247228349091; 0.4923247228349091; 0.074; 1; 0.074;-1;0.2
0.2; 2; 129; 2; 29; true; 0.2838458644471377; 0.3578458644471377; 0.074; 1; 0.074;-1;0.2
0.2; 2; 130; 2; 30; true; 0.8420010392760351; 0.916001039276035; 0.074; 1; 0.074;-1;0.2
1.2; 2; 129; 2; 29; true; 0.2878458644471377; 0.3618458644471377; 0.074; 1; 0.074;-1;1.2
1.2; 2; 130; 2; 30; true; 0.8460010392760351; 0.920001039276035; 0.074; 1; 0.074;-1;1.2
1.2; 2; 110; 2; 10; true; 0.9016190851717274; 0.9756190851717274; 0.074; 1; 0.074;-1;1.2
1.2; 2; 136; 2; 36; true; 0.4903479667829334; 0.5643479667829334; 0.074; 1; 0.074;-1;1.2
1.2; 2; 131; 2; 31; true; 0.2131047695527951; 0.2871047695527951; 0.074; 1; 0.074;-1;1.2
1.2; 2; 101; 2; 1; true; 0.802620355173183; 0.8766203551731829; 0.074; 1; 0.074;-1;1.2
1.2; 2; 100; 2; 0; true; 0.8648197745967996; 0.9388197745967996; 0.074; 1; 0.074;-1;1.2
1.2; 2; 139; 2; 39; true; 0.9614195003053294; 1.0354195003053295; 0.074; 1; 0.074;-1;1.2
1.2; 2; 115; 2; 15; true; 0.5788094554184262; 0.6528094554184262; 0.074; 1; 0.074;-1;1.2
0.2; 0; 126; 0; 26; true; 0.9399214468588322; 1.0149214468588321; 0.075; 1; 0.075;-1;0.2
1.2; 2; 103; 2; 3; true; 0.0465126100801622; 0.1205126100801622; 0.074; 1; 0.074;-1;1.2
1.2; 2; 107; 2; 7; true; 0.4342488425623345; 0.5082488425623345; 0.074; 1; 0.074;-1;1.2
1.2; 2; 135; 2; 35; true; 0.0786230101804068; 0.1526230101804069; 0.074; 1; 0.074;-1;1.2
1.2; 1; 121; 1; 21; true; 0.8404233179673659; 0.9144233179673659; 0.074; 1; 0.074;-1;1.2
0.2; 0; 106; 0; 6; true; 0.6602212311427351; 0.7352212311427351; 0.075; 1; 0.075;-1;0.2
1.2; 2; 133; 2; 33; true; 0.8238917493627738; 0.8978917493627737; 0.074; 1; 0.074;-1;1.2
0.2; 0; 113; 0; 13; true; 0.0329537402693313; 0.1079537402693313; 0.075; 1; 0.075;-1;0.2
0.2; 0; 127; 0; 27; true; 0.9398264151798733; 1.0148264151798734; 0.075; 1; 0.075;-1;0.2
0.2; 0; 128; 0; 28; true; 0.8379347583251149; 0.9129347583251148; 0.075; 1; 0.075;-1;0.2
0.2; 0; 114; 0; 14; true; 0.5843551892644923; 0.6593551892644922; 0.075; 1; 0.075;-1;0.2
0.2; 0; 129; 0; 29; true; 0.4131119378532905; 0.4881119378532905; 0.075; 1; 0.075;-1;0.2
0.2; 0; 130; 0; 30; true; 0.9344350744114773; 1.0094350744114773; 0.075; 1; 0.075;-1;0.2
1.2; 0; 129; 0; 29; true; 0.4181119378532905; 0.4931119378532905; 0.075; 1; 0.075;-1;1.2
1.2; 0; 130; 0; 30; true; 0.9394350744114772; 1.0144350744114772; 0.075; 1; 0.075;-1;1.2
1.2; 0; 122; 0; 22; true; 0.7504545580737074; 0.8254545580737074; 0.075; 1; 0.075;-1;1.2
1.2; 0; 136; 0; 36; true; 0.0536702978744182; 0.1286702978744182; 0.075; 1; 0.075;-1;1.2
1.2; 0; 131; 0; 31; true; 0.5676903364451882; 0.6426903364451881; 0.075; 1; 0.075;-1;1.2
1.2; 0; 101; 0; 1; true; 0.2211881891872053; 0.2961881891872053; 0.075; 1; 0.075;-1;1.2
1.2; 0; 100; 0; 0; true; 0.0614056472094265; 0.1364056472094266; 0.075; 1; 0.075;-1;1.2
1.2; 0; 149; 0; 49; true; 0.2061804749145857; 0.2811804749145857; 0.075; 1; 0.075;-1;1.2
1.2; 0; 115; 0; 15; true; 0.3632956589687933; 0.4382956589687934; 0.075; 1; 0.075;-1;1.2
1.2; 0; 103; 0; 3; true; 0.4533920666778119; 0.5283920666778119; 0.075; 1; 0.075;-1;1.2
